,specialStudents_girls,cursosComunitarios,workingComputers,meanAge_4,meanAge_1,meanAge_2,numberCT,totalBoys,brokenWC,classSize_6,wallMaterial,computerGov,classSize_4,v_phoneService,totalWC,meanAge_3,margina,totalGirls,p_mat_std,cct
0,0.0,1.0,0.0,9.194444699999998,6.1666665,7.1428571,2,4.75,2.0,3.875,0.89999998,0.0,5.8333335,0,2.0,8.440476400000001,2,5.0,0.37032419,01KPR0012K
1,0.0,1.0,1.0,9.2857141,6.666666499999999,7.1428571,2,9.5,0.0,7.25,0.89999998,0.0,8.1428576,0,2.0,8.2714281,3,8.875,-0.59538513,01KPR0020T
2,0.0,1.0,250.15,9.055555300000002,5.9166665,7.0,2,4.0,101.65,6.0,0.5,0.0,7.833333500000001,0,0.0,8.0555553,3,8.8571424,-0.045103606,01KPR0025O
3,0.0,1.0,1.0,9.3083334,6.3518519,7.285714100000001,2,8.125,0.0,4.8571429,0.89999998,0.0,8.0,0,2.0,8.416667,3,6.0,-0.63798016,01KPR0031Z
4,0.0,1.0,0.45,9.0,7.5,7.0,1,4.0,0.7,2.0,0.89999998,0.8,3.0,1,0.0,8.0,3,1.3333334,-0.052793454000000004,01KPR0033X
5,0.0,1.0,0.5,9.2666664,6.09375,7.125,3,6.375,1.133333338,5.7142859,0.89999998,0.0,5.4000001,0,0.0,8.555555300000002,2,4.0,-0.082639985,01KPR0035V
6,0.0,1.0,0.7,9.0,6.25,7.333333500000001,2,0.60000002,1.66666666,3.0,0.89999998,0.1,3.25,0,0.0,8.333333,2,3.5999999,0.68102396,01KPR0050N
7,0.0,1.0,0.8,12.5,7.0,7.0,2,1.75,351.1,2.0,0.5,0.266666676,1.5,0,0.0,8.0,2,1.75,-0.69095117,01KPR0054J
8,0.0,1.0,499.5,9.428571699999999,6.265306,7.1071429,2,6.375,2497.5,5.7142859,0.8999999800000003,0.0,6.0,0,2.0,8.1499996,2,6.5,-0.52040184,01KPR0060U
9,0.0,1.0,50.55,9.4761906,7.227778,7.1428571,2,5.625,1.5,4.6666665,0.89999998,0.0,5.8571429,0,2.0,8.619047199999999,3,5.75,-0.32697767,01KPR0067N
10,0.0,1.0,1.0,9.1428576,6.375,7.366666800000001,1,5.375,1.0,6.375,0.89999998,0.5,5.875,0,2.0,8.361110700000001,2,7.5,-0.13706365,01KPR0072Z
11,0.0,1.0,1.0,9.1111107,7.125,7.333333500000001,2,5.5,1.5,4.5,0.89999998,0.0,6.3333335,0,2.0,8.25,2,9.0,-0.91331768,01KPR0078T
12,0.0,1.0,0.0,9.458333,6.095238200000001,7.0714288,2,7.125,1.0,6.8571429,0.89999998,1.0,7.0,0,2.0,8.125,3,6.5,-0.55750632,01KPR0087A
13,0.0,1.0,1.0,9.2666664,6.277777700000001,7.0714288,3,3.5,0.5,4.1999998,0.89999998,0.0,5.4000001,0,2.0,8.625,3,5.0,0.10502339999999999,01KPR0095J
14,0.0,1.0,1.0,9.5,6.2857141,7.25,3,7.75,2.0,4.5714288,0.89999998,0.0,6.375,0,2.0,8.5625,3,5.25,0.47829691,01KPR0097H
15,0.0,1.0,1.0,9.166667,6.1599998,7.1999998,1,3.375,2.0,4.0,0.89999998,1.0,3.8333333,0,2.0,8.333333,3,5.0,-0.19639137,01KPR0099F
16,0.0,1.0,0.7,8.666667,5.8333335,7.0,2,4.6666665,1.0,6.0,0.89999998,0.4,5.6666665,0,2.0,8.0,3,5.0,-0.13427515,01KPR0100E
17,0.0,1.0,1.0,9.5500002,6.3142858,7.09375,2,3.125,0.0,3.5,0.89999998,0.0,5.3333335,0,2.0,8.6000004,2,7.375,-0.99281025,01KPR0106Z
18,0.0,1.0,0.0,9.4416666,6.1999998,7.0,2,4.5,2.0,6.0,0.89999998,0.0,8.0,0,2.0,8.279999700000001,2,7.25,0.0044215051000000005,01KPR0143C
19,0.0,1.0,1.0,9.1999998,6.722222299999999,7.0,2,6.0,1.0,5.5999999,0.89999998,1.0,5.3333335,0,2.0,8.0,3,4.5714288,-0.87152457,01KPR0159D
20,0.0,1.0,1.0,9.25,6.587301700000001,7.473809700000001,2,6.375,0.0,6.2857141,0.89999998,0.0,6.5714288,0,2.0,8.3761902,2,7.25,-0.37233403,01KPR0179R
21,0.0,1.0,0.6,10.0,6.0,8.0,2,0.0,3.0,3.3,0.89999998,0.2,3.0,0,2.0,8.0,2,4.5,0.86048353,01KPR0193K
22,0.0,1.0,0.0,8.875,6.5625,7.0,2,4.75,499.5,6.0,0.89999998,0.0,4.25,0,2.0,8.0,3,4.75,-1.085855,01KPR0196H
23,0.0,1.0,1.0,9.0,6.1428571,7.125,3,7.125,0.66666669,5.1666665,0.89999998,0.5,4.4285712,0,3.0,8.3690472,3,3.625,-0.60232443,01KPR0198F
24,0.0,1.0,0.316666669,9.222222300000002,6.1428571,7.1428571,2,5.625,1.0,4.0,0.89999998,0.0,4.1666665,0,2.0,8.1428576,3,2.125,0.51782501,01KPR0203A
25,0.0,1.0,0.4,9.583333,6.189796,7.1547618,2,6.625,1.5,4.7142859,0.89999998,0.1,7.25,0,2.0,8.4761906,2,9.375,-0.8293249,01KPR0207X
26,0.0,1.0,0.8,9.5,7.2303572,7.111111200000001,2,6.0,2.5,5.0,0.89999998,0.6,4.5714288,0,2.0,8.905555699999999,1,5.25,-0.56018472,01KPR0210K
27,0.0,1.0,1.0,9.15625,6.2380953,7.125,2,8.5,0.0,6.1428571,0.89999998,0.0,6.25,0,2.0,8.197917,3,5.125,0.28621912,01KPR0211J
28,0.0,1.0,1.0,10.055555,6.3000002,7.25,3,8.0,2.0,7.5,0.89999998,0.0,6.1428571,0,2.0,8.6866665,3,5.7142859,-0.70380849,01KPR0213H
29,0.0,1.0,0.85714287,9.2008924,6.0714288,7.0714288,1,14.625,2.0,8.5,0.89999998,0.0,10.375,0,2.0,8.1625004,3,6.25,-0.045542717,01KPR0214G
30,0.0,1.0,1.0,9.166667,6.505682,7.125,3,5.625,1.0,6.4285712,0.89999998,0.0,5.2857141,0,2.0,8.3571424,2,7.75,-1.0217519,01KPR0218C
31,0.0,1.0,0.0,9.1875,6.380952400000001,7.333333500000001,2,10.5,501.5,8.75,0.89999998,0.0,8.875,0,2.0,8.3479166,2,7.5,-0.20984066,01KPR0219B
32,0.0,1.0,1.0,9.0500002,6.8708334,7.4047618,2,5.7142859,1.0,4.1999998,0.89999998,0.0,5.8000002,0,2.0,8.208333,3,4.8571429,-0.40227079,01KPR0220R
33,0.0,1.0,0.9,9.2857141,6.1388888,7.166666499999999,1,6.4285712,650.85,4.25,0.89999998,0.0,5.0,0,0.0,8.333333,2,3.2857144,0.18034935,01KPR0221Q
34,0.0,1.0,1.0,9.083333,6.766666900000001,7.0,2,3.8571428999999995,0.0,3.6666667,0.89999998,0.0,5.3333335,0,2.0,7.9333334,3,1.7142857,-0.58261138,01KPR0223O
35,0.0,1.0,100.5,8.8000002,6.662499900000001,6.9375,2,10.0,21.03,11.0,0.89999998,0.1,7.75,0,0.0,7.900000099999999,2,10.75,-0.40695894,01KPR0225M
36,0.0,1.0,0.775,8.75,5.9583335,7.3000002,2,8.0,2.0,6.0,0.89999998,0.0,7.25,0,2.0,8.0666666,2,4.8000002,-0.62774003,01KPR0226L
37,0.0,1.0,100.75,9.0,6.0,7.0,2,3.2,0.5,5.0,0.89999998,0.0,3.5,0,2.0,8.0,3,4.1999998,-0.017539793999999997,01KPR0227K
38,0.0,1.0,1.0,8.9375,6.090277700000001,6.9333334,2,9.25,1.0,11.25,0.89999998,0.0,10.75,0,2.0,8.0,3,13.5,-0.94312727,01KPR0229I
39,0.0,1.0,0.2,9.0,6.625,7.0,2,6.0,1.4,6.75,0.2,0.1,3.0,0,5.0,8.0,2,4.5,-0.7360273,01KPR0231X
40,0.0,1.0,0.8,9.0,7.5555553,7.6666669999999995,2,9.0,1.0,3.3333333,0.89999998,0.2,6.666666499999999,0,2.0,9.166667,2,9.333333,-0.5690166999999999,01KPR0236S
41,0.0,1.0,0.1,11.0,6.9444441999999995,7.5,1,2.6666667,301.35,3.0,0.89999998,0.0,2.6666667,0,0.0,9.0,1,2.3333333,-0.89052665,01KPR0237R
42,0.0,1.0,255.19500010000002,9.0,6.0,6.5,2,4.6666665,600.8,3.0,0.89999998,0.1,5.0,0,0.0,8.0,2,0.66666669,0.7319544,01KPR0239P
43,0.0,1.0,0.7,9.0,6.0,7.0,1,3.6666667,2.0,5.0,0.2,0.1,4.5,0,2.0,8.0,3,4.0,-0.06003806,01KPR0240E
44,0.0,1.0,0.75,9.0,7.0,7.0,2,4.0,450.616666668,5.0,0.89999998,0.0,4.5,0,0.0,8.0,3,4.6666665,0.20118089,01KPR0243B
45,0.0,0.0,299.95,9.7303028,6.788636200000001,7.881168799999999,2,14.125,1000.4,3.5,0.2,0.4,10.0,0,0.0,8.416667,2,13.5,0.082485273,02KNP0027P
46,0.0,1.0,1.0,10.083333,6.25,7.75,2,5.6666665,0.0,6.0,0.89999998,0.0,6.666666499999999,1,2.0,8.666667,2,10.0,-0.64904934,02KPR0013I
47,0.0,1.0,200.333333334,10.57,7.732539699999999,7.9357142000000005,1,14.75,1999.0,6.5,0.40000001,0.2,9.8000002,0,1.0,9.2537413,2,13.75,-0.1661272,02KPR0015G
48,0.0,1.0,200.5,10.5,5.5,6.666666499999999,2,2.6666667,3.0,2.0,0.89999998,0.1,3.0,0,2.0,8.5,2,2.0,0.36373866,02KPR0025N
49,0.0038461538,1.0,0.9,9.7490597,6.8127322,7.762179400000001,1,63.5,1.0,42.714287,0.40000001,0.9,55.5,0,2.0,9.1695633,3,54.875,-0.56124908,02KPR0034V
50,0.0,1.0,0.5,9.4761906,6.1476192,7.015625,2,7.875,1.0,8.0,0.89999998,0.0,7.8571429,0,2.0,8.3952379,3,8.75,-0.35865533,02KPR0039Q
51,0.0,1.0,0.8,10.0,6.25,7.083333500000001,1,4.6666665,650.8,2.0,0.89999998,0.1,4.0,0,0.0,8.25,2,3.0,0.036268592,02KPR0044B
52,0.0044642859,1.0,0.8857142870000001,9.385188099999999,7.3306942,7.647524400000001,1,26.375,1.0,15.285714000000002,0.40000001,1.0,25.75,0,2.0,8.6348953,3,23.5,-0.49243885,02KPR0059D
53,0.0,1.0,100.575,9.3571424,6.348884099999999,7.1428571,2,12.25,1.0,8.5,0.89999998,0.35,13.285714000000002,0,2.0,8.619643199999999,2,15.125,-0.33098972,02KPR0068L
54,0.0,1.0,100.691666669,9.75,6.0833335,7.0,2,3.0,3.0,3.4000001,0.89999998,0.0,4.0,0,1.0,7.900000099999999,2,3.0,0.7561654999999999,02KPR0082E
55,0.0,1.0,0.5,10.0,6.3062925000000005,7.630506,2,11.125,1.0,3.8,0.40000001,0.2,8.125,0,2.0,9.1059523,2,11.75,0.1559796,02KPR0097G
56,0.0,1.0,100.266666669,9.1222219,6.0,7.079999900000001,2,8.2857141,1.0,7.0,0.89999998,0.0,7.333333500000001,0,2.0,8.2777777,3,4.4285712,-0.45009160000000004,02KPR0100D
