,cistern,workingComputers,directivesTeachers,classSize_5,roomQuality,mt_readTeachers,carrMagisterial,meanAge_2,classSize_6,students1,nivelCarrMagis,sexRatio_students,mt_speakStaff,meanAge_3,classSize_prim,graduateTeachers,margina,mt_readStaff,totalGirls,totalTeachers,preschoolAttendance,disabilitiesStudents,extraFacilities,safety,p_mat_std,cct
0,0.0,0.42857143,1.0,5.625,1.4,1.0,1.0,7.090277700000001,5.5,3.875,1.0,0.11268438,0.3125,8.3273811,5.3333335,0.875,2,0.5,15.25,1.0,1.0,0.066059403,2,2,-0.44173324,02DPB0001T
1,0.0,0.0,1.0,6.625,2.0,0.25,0.1875,7.166666499999999,7.0,5.25,0.1875,0.10237949,0.0,8.1215277,5.619047599999999,0.125,3,0.083333336,14.625,1.0,0.96651787,0.035406402999999996,1,2,-0.47052675,02DPB0003R
2,0.0,0.592857143,1.0,5.5,1.6,0.5,0.0,7.2044644,5.0,4.0,0.0,0.1254333,0.0625,8.302083,4.8333335,0.375,2,0.25,14.875,1.0,1.0,0.066938631,2,2,-0.46966061,02DPB0004Q
3,0.0,1.0,0.0,26.0,2.0,0.81439394,0.40535715,7.0098147,24.625,55.625,0.51607144,0.032294899,0.67202383,8.0838575,27.625,0.53598487,5,0.6541667,166.625,11.625,0.94959307,0.018353133,5,2,-0.27486551,02DPB0007N
4,0.0,0.90476191,0.0,23.333334,1.8,1.0078125,0.55469561,7.328174099999999,21.395834,62.75,0.82370138,0.07092812700000001,0.83765483,8.560931199999999,23.998264000000002,0.61731881,4,0.83765483,183.625,14.875,0.62518257,0.054890692000000005,3,0,-0.301705,02DPB0008M
5,1.0,0.60000002,0.0,14.3125,1.8,0.97500002,0.35044643,7.9313216,13.0,18.625,0.38169643,0.087268353,0.75327384,8.947312400000001,15.6875,0.39107144,2,0.75327384,45.875,5.0,0.3433615,0.033859722,6,7,-0.69425881,02DPB0010A
6,0.0,1.0,1.0,5.3333335,2.0,1.0,0.625,7.2318449000000005,4.0,5.875,1.125,0.12558275,0.375,8.3575897,5.266666900000001,0.66666669,3,0.375,10.625,0.75,0.85227275,0.042211175,2,8,-0.15119071,02DPB0011Z
7,0.0,0.88235295,0.0,23.4375,1.6,0.98784721,0.37478149,7.524236200000001,25.4375,39.25,0.5734266,0.026225822000000003,0.77323717,8.570871400000001,23.916666,0.51006943,3,0.77323717,106.125,9.125,0.8025915,0.0088696582,2,4,-0.11819725,02DPB0012Z
8,1.0,0.80000001,0.375,15.625,1.6,1.0,0.18923610000000002,7.896952199999999,13.375,37.875,0.2326389,0.034915182999999995,0.84603173,8.837202099999999,20.666666,0.49598214,3,0.84603173,73.875,6.0,0.63537502,0.0030432919,3,1,0.25926667,02DPB0013Y
9,0.3,0.60000002,1.0,15.375,1.2,1.0,0.36041668,7.233554400000001,12.875,21.375,0.36041668,0.033592939,0.79583335,8.4136448,17.666666,0.30208334,2,0.79583335,51.375,4.0,0.81195641,0.021169668,1,3,-0.19681643,02DPB0021G
10,0.5,0.60000002,0.0,22.6875,1.8,0.97500002,0.2669414,7.3090500999999986,21.6875,39.625,0.40098444,0.048304386,0.79097986,8.5678501,21.989584,0.37272727,2,0.79097986,110.875,10.75,0.75749534,0.0093706958,3,4,-0.097395211,02DPB0023E
11,1.0,0.71428573,0.0,26.9375,1.4,1.0288461,0.15260416,7.136972900000001,26.0625,66.5,0.20885417,0.037247567999999995,0.83802086,8.25807,28.267360999999998,0.60977566,2,0.83802086,165.875,12.625,0.86270863,0.037119109,4,3,-0.25533926,02DPB0024D
12,1.0,0.95833331,0.0,22.375,2.0,1.0178572,0.35257936,7.0134869,22.5,26.5,0.85709327,0.058922462,0.76443452,8.121789900000001,24.3125,0.67559522,4,0.76443452,71.5,6.25,0.94311386,0.033094451000000004,4,5,0.84807998,02DPB0028Z
13,0.0,1.0,1.0,6.0,2.0,1.0,0.77083331,7.452297200000001,5.125,13.25,0.85416669,0.054710302999999995,0.47916669,8.6737194,8.6875,0.5,2,0.47916669,21.75,1.125,0.56730771,0.0019841271,0,2,-0.97915596,02DPB0029Z
14,0.0,1.0,0.0,26.4375,1.6,1.0625,0.11481228,7.323255099999999,26.4375,43.375,0.13404304,0.049996488,0.83836997,8.4232578,26.40625,0.49318182,2,0.83836997,127.125,10.375,0.68847525,0.055400005999999995,3,5,0.024225926000000002,02DPB0031N
15,0.0,0.842857143,1.0,3.25,2.0,0.0,0.0,8.6756945,3.0,3.75,0.0,0.17827381,0.0,9.622023599999999,3.2777777,0.3485119079,3,0.0,6.875,0.0,0.03125,0.018181819,2,3,-0.53519291,02DPB0032M
16,1.0,1.0,0.0,20.3125,2.0,0.92708337,0.38936013,7.0980663,21.5,47.0,0.95282739,0.049813527999999996,0.85029763,8.2447758,22.260416,0.74715906,3,0.73363096,133.0,11.875,0.89178407,0.063579038,6,8,0.56944293,02DPB0033L
17,0.0,1.0,0.0,22.875,2.0,0.9375,0.5558036,7.293149499999999,22.0,23.875,0.81026787,0.039459743,0.71651787,8.3044052,23.1875,0.79166669,5,0.71651787,66.25,6.0,0.70526785,0.010853473,5,2,-0.16861245,02DPB0034K
18,0.0,0.83333331,0.0,24.4375,1.6,0.79109848,0.2044414,7.1270294000000005,23.8125,38.75,0.40453297,0.03394381,0.65647894,8.305522900000001,23.114584,0.5715909,3,0.65647894,131.25,11.125,0.85637259,0.01348892,5,5,0.0069658766,02DPB0035J
19,0.0,1.0,0.0,28.9375,1.2,0.95913464,0.44166666,7.0305948,27.0,51.5,0.85000002,0.056548264,0.77500004,8.1514101,27.416665999999996,0.60016024,2,0.77500004,158.125,12.125,0.94715106,0.016481628999999998,4,4,0.10939683,02DPB0037H
20,1.0,0.91666669,0.0,21.9375,2.0,0.99038464,0.47646105,7.116357799999999,23.3125,35.25,0.82873374,0.04910584900000001,0.91152596,8.316349,22.732639000000002,0.63269234,2,0.90259743,108.25,10.375,0.80700266,0.0,3,8,0.25375572,02DPB0041U
21,0.0,0.69999999,0.0,23.083334,1.8,0.9891414000000001,0.28436565,7.389112,20.354166,50.25,0.42691061,0.045179009000000006,0.8479687,8.5082788,21.822916,0.35094696,2,0.73963535,131.125,10.25,0.75725204,0.060086007999999996,5,0,-0.45736766,02DPB0043S
22,0.0,1.0,0.0,31.322917999999998,1.6,1.0339912,0.36923584,6.872688799999999,30.541667999999998,99.375,0.5172806999999999,0.014130493999999999,0.88469321,7.9600964,31.796875,0.86915207,5,0.88469321,283.0,18.5,0.93409115,0.010691118000000001,4,7,-0.13651447,02DPB0044R
23,0.0,0.73333335,0.0,25.5625,1.8,0.88611114,0.5212912000000001,7.6240053,27.9375,45.75,1.0401472999999999,0.038793806,0.82492507,8.7706928,26.847223,0.44779041,4,0.7177821999999999,122.5,10.125,0.54831892,0.016218074,3,0,-0.36143443,02DPB0045Q
24,0.0,0.97619045,0.0,37.4375,1.4,1.0133928,0.25474286,6.806067,34.666668,92.5,0.26826626,0.022000517999999997,0.81780398,8.082901,35.565971000000005,0.66071427,5,0.84905398,283.875,15.875,0.75774807,0.026097089,8,3,-0.51833987,02DPB0046P
25,0.5,1.0,0.0,21.625,1.6,1.015625,0.11805556,7.4454865,22.625,36.125,0.11805556,0.048435029000000004,0.89583331,8.5038481,23.833334,0.36979169,3,0.89583331,92.25,8.5,0.70238626,0.038834866,2,3,0.013929003,02DPB0047O
26,1.0,0.71428573,0.125,27.625,1.0,0.9375,0.028124998999999998,7.095171000000001,28.1875,32.0,0.028124998999999998,0.025884014,0.74218976,8.1096268,28.885415999999996,0.39955357,2,0.74218976,94.75,6.875,0.80090219,0.03457433,5,3,0.092120774,02DPB0048N
27,1.0,0.5,0.0,17.625,2.0,1.0416665999999999,0.46180555,7.6094669999999995,16.625,16.875,1.134375,0.060373183,0.74861109,8.7921715,17.979166,0.70833331,3,0.74861109,57.625,6.0,0.78873515,0.045290112,6,8,0.44298381,02DPB0050B
28,0.0,0.82352942,0.0,23.0,1.2,0.98958337,0.42316851,7.4347425000000005,22.625,41.25,0.83571428,0.03436242,0.81252289,8.6620302,22.5,0.75473487,2,0.81252289,126.75,11.375,0.58283275,0.0045093787,4,4,-0.12365606,02DPB0051A
29,1.0,1.0,0.625,22.25,1.6,1.0,0.24226192,7.4373016000000005,22.25,28.125,0.26011905,0.048873047999999995,0.84404761,8.5980673,24.354166,0.62916666,2,0.84404761,73.25,5.5,0.65719515,0.012050594,3,6,-0.47233737,02DPB0052Z
30,0.0,0.58333331,0.0,32.1875,1.6,0.96875,0.12184343,7.2561526,29.5625,39.875,0.14457071,0.039974757,0.79864269,8.3002939,30.489582000000002,0.46800596,5,0.79864269,109.375,8.125,0.77152729,0.038767379,4,9,-0.30803463,02DPB0053Z
31,0.0,1.0,0.0,24.0,1.6,0.71562499,0.27073863,7.224906,23.25,35.75,0.31136364,0.047422505999999996,0.6446023,8.4365263,25.458334,0.53020835,3,0.59573865,111.875,8.5,0.83618653,0.010269614,4,3,0.019174771,02DPB0054Y
32,1.0,1.0,0.625,22.625,2.0,1.0,0.22529763,7.628872900000001,22.6875,44.375,0.22529763,0.017252402,0.8785218000000001,8.7170334,24.84375,0.49483678,2,0.8785218000000001,97.125,7.625,0.55861253,0.0098352963,2,6,0.15009489999999998,02DPB0055X
33,0.0,0.97619045,0.0,28.8125,1.4,0.88984036,0.25221601,7.114522,27.541665999999996,85.625,0.33064741,0.017388612,0.77119231,8.2240887,29.527779,0.61019981,5,0.77119231,218.875,14.875,0.68822271,0.043304387,8,3,-0.25432003,02DPB0056W
34,0.0,0.66666669,0.0,17.125,1.8,0.83333331,0.4107143,7.6177826,15.125,17.5,0.8035714,0.09566551400000001,0.72321427,8.8032169,17.791666,0.46250001,2,0.70238096,46.125,5.375,0.7052483,0.04857020099999999,5,0,-0.48898178,02DPB0058U
