Total,cct
57.0,08DPR1031P
55.0,30DPR5556W
54.0,08EPR0838T
53.0,22DPR0855D
53.0,07DPR2286Y
52.0,20DPR2382V
52.0,24DPR0392K
52.0,19EPR1217Z
51.0,13DPR1810G
51.0,21DPR2143U
50.0,30DPR3401G
50.0,20DPR0602C
49.0,13DPR2183M
48.0,25DPR1615I
48.0,15EPR5008Y
48.0,30EPR2299B
48.0,13DPR2682I
48.0,23DPR0773T
48.0,08DPR1485P
47.0,16DPR5306X
47.0,27DPR0837J
47.0,11DPR2519J
47.0,15DPR2962Q
47.0,11DPR0174T
47.0,20DPR0607Y
46.0,32DPR2299A
46.0,13DPR1928E
46.0,13DPR0311D
46.0,27DPR1727K
46.0,15EPR4985N
46.0,23DPR0360T
45.0,30DPR5564E
45.0,16DPR4024I
45.0,13DPR1337S
45.0,30EPR2052J
45.0,14DPR2622T
45.0,16DPR5352I
44.0,20DPR0117J
44.0,32DPR1214X
44.0,24DPR1377Z
44.0,30EPR3960Q
44.0,30DPR1199X
44.0,32DPR1112Z
44.0,11DPR3913S
44.0,21DPR1805D
44.0,10DPR0316B
44.0,14DPR0381Y
43.0,11DPR2831B
43.0,12DPR0697Y
43.0,30DPR4704H
43.0,14DPR3098V
43.0,11DPR2814L
43.0,11DPR3599S
43.0,32DPR1322E
43.0,21DPR2946J
43.0,12DPR5448Z
43.0,31DPR2103Z
43.0,20DPR2790Z
43.0,24DPR0904U
42.0,07DZC1006W
42.0,11DPR2667S
42.0,11DPR3919M
42.0,19DPR0537D
42.0,11DPR3247P
42.0,30DPR5567B
42.0,11DPR3921A
42.0,27DPR0833N
42.0,30EPR1569Y
42.0,21DPR2256X
42.0,23DPR0748U
42.0,08EPR0469Q
42.0,10DPR0919T
42.0,11DPR2748C
42.0,14DPR2035C
41.0,27DPR2077F
41.0,20DPR2282W
41.0,19EPR0045Q
41.0,27DPR1362U
41.0,11DPR3899P
41.0,20DPR2727Y
41.0,14DPR3325Z
41.0,11DPR3893V
41.0,16DPR5301B
41.0,14DPR2874X
41.0,14DPR2808Y
41.0,14DPR2067V
41.0,11DPR2895M
41.0,11DPR3765Z
41.0,08EPR0680K
41.0,15EPR5042E
41.0,10DPR0075U
41.0,23DPR0075Y
41.0,30EPR3599F
41.0,12EPR0428C
41.0,27DPR1900B
41.0,27DPR2045N
41.0,11DPR3929T
41.0,08EPR0756J
41.0,22DPR0035Y
41.0,11DPR0237O
41.0,23DPR0418C
41.0,16DPR4027F
40.0,21EPR1601I
40.0,26DPR0379O
40.0,11DPR1087E
40.0,30EPR2568F
40.0,11DPR1212M
40.0,11DPR0302Y
40.0,15DPR2189E
40.0,14DPR1968E
40.0,11DPR2663W
40.0,21DPR2508K
40.0,13DPR2782H
40.0,30DPR0931B
40.0,08DPR0120B
39.0,19DPR0602N
39.0,10DPR1664P
39.0,25DPR0166N
39.0,30DPR2133V
39.0,11DPR1878P
39.0,24DPR1037A
39.0,30EPR3779Q
39.0,30EPR3902Z
39.0,27DPR0758X
39.0,13DPR0418W
39.0,30EPR1520F
39.0,13DPR2766Q
39.0,11DPR2471G
39.0,30DPR4177F
39.0,13DPR2615K
39.0,14DPR0684S
39.0,07DPR3840D
39.0,15DPR3072M
39.0,08DPR0761W
39.0,20DPR2360J
39.0,07DPR4157R
39.0,11DPR0591F
39.0,27DPR0717X
39.0,24DPR1351R
39.0,07DPR4317O
38.0,30DPR2848Q
38.0,30EPR2750E
38.0,30DPR1739C
38.0,27DPR0881X
38.0,28DPR0512C
38.0,30DPR1528Z
38.0,12DPR6023A
38.0,12DPR5681E
38.0,20DPR2740S
38.0,19DPR1376O
38.0,14DPR2199M
38.0,19DPR0682P
38.0,21DPR1224Y
38.0,19DPR0659O
38.0,15DPR2633Y
38.0,11DPR0362M
37.0,30EPR0232G
37.0,21DPR3502X
37.0,30DPR4995N
37.0,23DPR0771V
37.0,24DPR2076J
37.0,30EPR1998P
37.0,20DPR0884A
37.0,27DPR1243G
37.0,20DPR4257K
37.0,28DPR1667L
37.0,24DPR0967F
37.0,11DPR2458M
37.0,15DPR3237E
37.0,18DPR0769V
37.0,10DPR0471U
37.0,21DPR1200O
37.0,16DPR2440I
37.0,30DPR1862C
37.0,23DPR0416E
37.0,13DPR1959Y
37.0,15DPR3079F
37.0,07DPR4158Q
37.0,05DZC0004T
36.0,30DPR3457I
36.0,15EPR5034W
36.0,30DPR4213U
36.0,32DPR1038I
36.0,27DPR1498H
36.0,30DPR4258Q
36.0,24DPR2016V
36.0,24DPR3289S
36.0,21DPR1225X
36.0,14DPR1490L
36.0,27DPR1041K
36.0,22DPR0649V
36.0,08EPR0781I
36.0,14EPR0212B
36.0,30DPR1752X
36.0,21DPR3452F
36.0,20DPR2955S
36.0,28DPR1018I
36.0,24DPR0281F
36.0,30EPR0220B
35.0,07DPR4845F
35.0,25DZC0010R
35.0,13DPR1871U
35.0,30EPR3321U
35.0,08DPR0524U
35.0,30EPR0090Z
35.0,13DPR1489X
35.0,07DPR2386X
35.0,11DPR2988B
35.0,30EPR3381I
