Total,cct
59.0,19PPR0936F
56.0,08PPR2072A
53.0,07PPR0002T
46.0,18PPR0040B
45.0,16PPR0097E
44.0,08PPR0564Z
44.0,09PPR1833J
44.0,16PPR0072W
42.0,29PPR0028M
40.0,08PPR2028N
39.0,02PPR0235N
38.0,11PPR1015Q
37.0,16PPR0158B
37.0,16PPR0020Q
37.0,24PPR0013P
35.0,09PPR1704P
34.0,15PPR3424D
34.0,09PPR1756V
34.0,08PPR0046P
33.0,08PPR0324A
32.0,21PPR0576Z
32.0,16PPR0187X
32.0,08PPR0623Z
32.0,08PPR0033L
31.0,15PPR3284U
31.0,24PPR0269P
30.0,29PPR0073Z
30.0,20PPR0046K
30.0,11PPR0946U
30.0,09PPR1828Y
30.0,11PPR1014R
30.0,11PPR0961M
29.0,27PPR0058I
29.0,24PPR0342H
28.0,16PPR0182B
28.0,20PPR0082P
28.0,21PPR0073G
28.0,28PPR0306Z
28.0,14PPR1055O
27.0,16PPR0173U
27.0,30PPR0499S
26.0,08PPR0038G
26.0,21PPR0808Z
26.0,28PPR0197I
25.0,16PPR0008V
25.0,07PPR0551X
25.0,08PPR1799U
24.0,19PPR0839D
24.0,16PPR0103Z
23.0,17PPR0146W
23.0,14PPR0440B
23.0,30PPR3710Q
23.0,30PPR3467U
23.0,07PPR0442Q
22.0,08PPR1877H
22.0,18PPR0053F
22.0,11PPR1053T
22.0,05PPR0123G
22.0,15PPR3470P
21.0,19PPR0917R
21.0,08PPR2038U
21.0,09PPR1362J
21.0,07PPR0025D
21.0,08PPR1872M
21.0,31PPR0361F
20.0,14PPR0195H
20.0,09PPR1215Z
20.0,16PPR0083B
20.0,16PPR0010J
19.0,14PPR0363N
19.0,13PPR0174W
18.0,11PPR0126O
18.0,16PPR0390I
18.0,16PPR0101A
17.0,21PPR0884E
17.0,26PPR0350O
17.0,09PPR1777H
17.0,08PPR0025C
17.0,31PPR0364C
17.0,11PPR0888U
17.0,09PPR1826Z
17.0,30PPR3458M
17.0,09PPR1516W
16.0,14PPR0368I
16.0,15PPR2628R
16.0,02PPR0264I
15.0,15PPR3403R
15.0,29PPR0160U
15.0,30PPR0005R
15.0,13PPR0172Y
15.0,13PPR0310J
15.0,14PPR1387D
15.0,21PPR1119S
15.0,07PPR0377G
15.0,07PPR0572J
15.0,24PPR0294O
15.0,14PPR0450I
15.0,11PPR0991G
15.0,31PPR0204P
14.0,28PPR0300E
14.0,27PPR0133Z
14.0,11PPR1051V
14.0,15PPR3635H
14.0,21PPR0469Q
14.0,27PPR0049A
14.0,16PPR0366I
14.0,30PPR3464X
14.0,16PPR0282A
14.0,07PPR0563B
14.0,21PPR0827N
14.0,15PPR3738D
14.0,21PPR1023F
14.0,08PPR1855W
13.0,23PPR0029R
13.0,21PPR1045R
13.0,21PPR0933X
13.0,27PPR0130B
13.0,11PPR1011U
13.0,29PPR0104B
13.0,02PPR0088U
13.0,29PPR0055J
13.0,14PPR0401Z
13.0,17PPR0141A
13.0,18PPR0010H
13.0,21PPR1125C
13.0,14PPR0585X
13.0,02PPR0163K
13.0,13PPR0078T
13.0,27PPR0085F
13.0,09PPR1048T
12.0,31PPR0241T
12.0,21PPR0994K
12.0,14PPR0391J
12.0,21PPR0635Y
12.0,15PPR3115Z
12.0,22PPR0034D
12.0,08PPR2087C
12.0,15PPR2879W
12.0,21PPR0949Y
12.0,27PPR0127O
12.0,16PPR0104Y
12.0,08PPR2023S
12.0,15PPR3750Z
12.0,30PPR3649C
12.0,31PPR0377G
12.0,09PPR1734J
12.0,29PPR0181G
12.0,25PPR0166S
12.0,30PPR3646F
12.0,16PPR0287W
12.0,11PPR1007H
12.0,10PPR0053N
11.0,30PPR3616L
11.0,07PPR0380U
11.0,19PPR0925Z
11.0,15PPR2162C
11.0,21PPR0940G
11.0,28PPR0070C
11.0,08PPR2098I
11.0,09PPR0095X
11.0,11PPR1035D
11.0,30PPR3534B
11.0,11PPR0993E
11.0,02PPR0419U
11.0,16PPR0125K
11.0,28PPR0227M
11.0,23PPR0161Z
11.0,11PPR0988T
11.0,16PPR0155E
11.0,11PPR0941Z
11.0,30PPR3482M
11.0,31PPR0376H
11.0,11PPR1054S
11.0,27PPR0117H
11.0,23PPR0064X
11.0,07PPR0504M
11.0,02PPR0191G
11.0,21PPR1112Z
11.0,28PPR0327L
10.0,15PPR3457V
10.0,30PPR0065F
10.0,19PPR0961E
10.0,16PPR0143Z
10.0,14PPR0891E
10.0,23PPR0010T
10.0,16PPR0012H
10.0,11PPR0904V
10.0,21PPR0833Y
10.0,15PPR3036M
10.0,16PPR0124L
10.0,05PPR0096Z
10.0,05PPR0139H
10.0,20PPR0019N
10.0,31PPR0354W
10.0,30PPR3651R
10.0,16PPR0328F
10.0,21PPR1032N
10.0,20PPR0008H
10.0,21PPR0894L
10.0,09PPR0064D
9.0,19PPR0930L
9.0,11PPR0609T
9.0,14PPR0926D
9.0,32PPR0198U
9.0,16PPR0140C
9.0,28PPR0233X
9.0,09PPR1729Y
9.0,16PPR0147W
9.0,32PPR0052Z
9.0,16PPR0402X
9.0,09PPR1394B
9.0,16PPR0183A
9.0,02PPR0382X
9.0,16PPR0340A
9.0,19PPR0889L
9.0,15PPR2213T
9.0,21PPR0768O
9.0,19PPR0905M
9.0,08PPR2069N
9.0,25PPR0165T
9.0,27PPR0043G
8.0,21PPR0901E
8.0,09PPR1094E
8.0,09PPR1496Z
8.0,14PPR0350J
8.0,30PPR0014Z
8.0,08PPR0024D
8.0,31PPR0352Y
8.0,21PPR1033M
8.0,11PPR0324O
8.0,16PPR0354D
8.0,14PPR0798Z
8.0,26PPR0254L
8.0,20PPR0080R
8.0,02PPR0171T
8.0,16PPR0078Q
8.0,23PPR0160Z
8.0,09PPR1683T
8.0,21PPR0707A
7.0,16PPR0520L
7.0,14PPR0162Q
7.0,16PPR0285Y
7.0,30PPR6362U
7.0,26PPR0257I
7.0,32PPR0040V
7.0,13PPR0345Z
7.0,09PPR1348Q
7.0,21PPR0781I
7.0,21PPR1106O
7.0,21PPR0539V
7.0,15PPR3432M
7.0,19PPR0984P
7.0,15PPR3609J
7.0,26PPR0124S
7.0,26PPR0222T
7.0,19PPR0938D
6.0,28PPR0140H
6.0,15PPR3243U
6.0,02PPR0348Q
6.0,26PPR0349Z
6.0,15PPR2596P
6.0,15PPR3387Q
6.0,12PPR0178T
6.0,13PPR0312H
6.0,17PPR0296C
6.0,11PPR0039T
6.0,15PPR2602J
6.0,15PPR2807C
6.0,17PPR0248T
6.0,21PPR0794M
6.0,21PPR1083U
6.0,16PPR0318Z
6.0,24PPR0375Z
6.0,03PPR0064J
6.0,19PPR0969X
6.0,16PPR0002A
6.0,19PPR0903O
6.0,27PPR0023T
6.0,27PPR0123S
6.0,21PPR1111Z
6.0,23PPR0144I
6.0,16PPR0164M
6.0,30PPR3466V
6.0,09PPR1543T
6.0,08PPR2082H
6.0,20PPR0063A
6.0,24PPR0002J
5.0,26PPR0268O
5.0,11PPR0064S
5.0,30PPR3602I
5.0,22PPR0237Z
5.0,11PPR0855C
5.0,14PPR0244Z
5.0,14PPR1591O
5.0,15PPR2871D
5.0,11PPR0895D
5.0,27PPR0078W
5.0,15PPR3295Z
5.0,14PPR1136Z
5.0,13PPR0311I
5.0,29PPR0164Q
5.0,26PPR0255K
5.0,19PPR0874J
5.0,09PPR0743K
5.0,16PPR0418Y
5.0,11PPR0923J
5.0,15PPR2586I
5.0,06PPR0062I
5.0,09PPR0324Z
5.0,21PPR0608A
5.0,09PPR1310D
5.0,15PPR2255S
5.0,11PPR0323P
5.0,11PPR0669H
5.0,19PPR0366F
5.0,22PPR0002L
4.0,05PPR0018W
4.0,08PPR0047O
4.0,02PPR0013D
4.0,27PPR0114K
4.0,26PPR0271B
4.0,09PPR1722E
4.0,11PPR1034E
4.0,23PPR0136Z
4.0,15PPR3294A
4.0,16PPR0005Y
4.0,22PPR0188G
4.0,16PPR0398A
4.0,30PPR6379U
4.0,15PPR3720E
4.0,08PPR1888N
4.0,12PPR0373W
4.0,14PPR0086A
4.0,14PPR1259I
4.0,14PPR1220X
4.0,15PPR3256Y
4.0,16PPR0422K
4.0,16PPR0284Z
4.0,16PPR0107V
4.0,21PPR1008N
4.0,15PPR3498V
4.0,16PPR0181C
4.0,16PPR0381A
4.0,23PPR0133C
4.0,11PPR0626J
4.0,11PPR0098I
4.0,11PPR1013S
4.0,24PPR0383H
4.0,30PPR0605L
4.0,21PPR0926N
4.0,28PPR0063T
4.0,19PPR0922C
4.0,27PPR0027P
4.0,11PPR0196J
4.0,11PPR1043M
4.0,21PPR1132M
3.0,15PPR3625A
3.0,28PPR0336T
3.0,14PPR1453M
3.0,16PPR0017C
3.0,21PPR1044S
3.0,16PPR0021P
3.0,29PPR0095K
3.0,08PPR1789N
3.0,14PPR0032X
3.0,16PPR0092J
3.0,14PPR1078Z
3.0,09PPR1751Z
3.0,26PPR0020X
3.0,30PPR6384F
3.0,09PPR1776I
3.0,22PPR0215N
3.0,31PPR0276I
3.0,21PPR1000V
3.0,16PPR0129G
3.0,19PPR0920E
3.0,02PPR0384V
3.0,15PPR3320I
