Total,cct
61.0,20DPR0602C
60.0,30DPR5567B
58.0,07DPR2286Y
57.0,30DPR4007L
55.0,07DPR1764A
55.0,13DPR1810G
55.0,30DPR3888Y
54.0,08EPR0838T
54.0,14DPR2073F
54.0,21DPR2143U
53.0,30EPR0411S
52.0,20DPR2382V
52.0,21DPR0018I
51.0,32DPR2299A
51.0,27DPR0837J
51.0,07DPR4884H
51.0,12EPR0933J
51.0,11DPR2519J
51.0,11DPR2988B
51.0,24DPR0645X
50.0,30DPR3401G
50.0,08DPR1031P
50.0,24DPR1377Z
49.0,20DPR1255S
49.0,30EPR2718W
48.0,07DPR4157R
48.0,24DPR0392K
48.0,15EPR1300B
48.0,13DPR2682I
48.0,20DPR1826R
48.0,05DPR0927Q
47.0,15EPR4985N
47.0,10DPR0735M
47.0,27DPR0666G
47.0,30DPR1887L
47.0,30DPR2112I
47.0,30DPR3250R
47.0,30DPR0931B
47.0,22DPR0035Y
46.0,07DPR4318N
46.0,23DPR0773T
46.0,11DPR3913S
46.0,21DPR1805D
46.0,12DPR5448Z
45.0,07DPR4458N
45.0,30EPR1569Y
45.0,13DPR1337S
45.0,30DPR5564E
45.0,27DPR0881X
45.0,24DPR1037A
45.0,14DPR0381Y
45.0,27DPR1243G
45.0,27DPR0833N
45.0,16DPR4027F
45.0,14DPR2622T
45.0,19EPR0045Q
45.0,16DPR4024I
45.0,08EPR0756J
44.0,30EPR3779Q
44.0,22DPR0855D
44.0,11DPR2748C
44.0,32DPR1322E
44.0,20DPR0668L
44.0,30DPR1199X
44.0,30DPR5557V
44.0,30DPR4429T
44.0,14DPR3098V
43.0,11DPR1087E
43.0,11DPR3599S
43.0,30DPR4704H
43.0,14DPR2035C
43.0,11DPR2663W
43.0,24DPR1351R
43.0,11DPR2831B
43.0,21DPR1200O
43.0,20DPR2790Z
43.0,10DPR0316B
43.0,12DPR0697Y
43.0,14DPR2874X
43.0,11DPR2814L
43.0,04DPR0749E
43.0,11DPR1212M
42.0,23DPR0416E
42.0,07DPR4158Q
42.0,08EPR0469Q
42.0,30EPR2248V
42.0,29DPR0138N
42.0,11DPR2667S
42.0,30EPR3639Q
42.0,11DPR3929T
42.0,27DPR0717X
42.0,11DPR3921A
42.0,07DZC1006W
42.0,30EPR3599F
42.0,19DPR0537D
41.0,11DPR2625T
41.0,24DPR1597K
41.0,23DPR0075Y
41.0,08EPR0680K
41.0,15DPR2189E
41.0,20DPR2727Y
41.0,11DPR3893V
41.0,11DPR3899P
41.0,14DPR2067V
41.0,21EPR1561Y
41.0,10DPR1664P
41.0,30DPR1005T
41.0,14DPR1968E
41.0,07EPR0664U
41.0,12EPR0428C
41.0,30DPR0160E
41.0,20DPR2282W
41.0,14DPR3325Z
41.0,11DPR3765Z
41.0,14DPR2808Y
41.0,31DPR0716K
41.0,30EPR0091Y
41.0,27DPR2045N
41.0,10DPR0075U
41.0,16DPR5301B
41.0,11DPR3919M
41.0,11DPR2460A
40.0,10DPR0919T
40.0,11DPR0302Y
40.0,21DPR2508K
40.0,30DPR3457I
40.0,11DPR3583R
40.0,30EPR3902Z
40.0,11DPR1878P
40.0,13DPR2782H
40.0,15DPR3252X
39.0,07EPR0380O
39.0,13DPR1959Y
39.0,11DPR3247P
39.0,14EPR0212B
39.0,07DPR4317O
39.0,21DPR2670M
39.0,30DPR1713V
39.0,04DPR0116T
39.0,12EPR0554Z
39.0,10DPR0236Q
39.0,14DPR2199M
39.0,27DPR1362U
39.0,30DPR3004H
39.0,30DPR4454S
39.0,11DPR2471G
39.0,19DPR0602N
39.0,26DPR1097N
39.0,07DPR4303L
39.0,28DPR0512C
38.0,15DPR3237E
38.0,15DPR2962Q
38.0,23DPR0756C
38.0,19DPR1376O
38.0,04DPR0408H
38.0,07DPR1359T
38.0,20DPR0607Y
38.0,30DPR1862C
38.0,24DPR0785X
38.0,30EPR2568F
38.0,30EPR2750E
38.0,11DPR0426G
38.0,12DPR5681E
38.0,30DPR4995N
38.0,24DPR2076J
38.0,12DPR0568D
38.0,19DPR0682P
38.0,15DPR2633Y
38.0,30DPR1528Z
38.0,16DPR2440I
38.0,12DPR6023A
38.0,30DPR4258Q
38.0,11DPR1813F
37.0,20DPR1372H
37.0,24DPR0967F
37.0,10DPR0471U
37.0,07DPR0190Y
37.0,20DPR4257K
37.0,24DPR0922J
37.0,30EPR3594K
37.0,30DPR2042D
37.0,25EPR0424K
37.0,30DPR3418G
37.0,30DPR4177F
37.0,30DPR2848Q
37.0,30DPR1752X
37.0,22DPR0649V
37.0,28DPR1667L
37.0,21DPR2132O
37.0,30EPR2195G
37.0,17DPR0094B
37.0,30EPR0195T
36.0,11EPR0908L
36.0,30EPR2299B
36.0,30EPR1520F
36.0,20DPR1239A
36.0,27DPR1737R
36.0,18DPR0006Q
36.0,28DPR1018I
36.0,24DPR1915G
36.0,08DPR0120B
36.0,27DPR1501E
36.0,30EPR0220B
36.0,30EPR3613I
36.0,30EPR3960Q
36.0,30EPR0745F
36.0,21DPR3681Z
36.0,30EPR3904Y
36.0,16DPR2267R
36.0,30DPR2133V
35.0,20DPR2108P
35.0,13DPR2603F
35.0,30DPR4261D
35.0,14DPR1808R
35.0,21DPR1931A
35.0,20DPR0561T
35.0,21DPR0824L
35.0,20DPR0117J
35.0,13DPR1871U
35.0,27DPR1423R
35.0,21EPR1601I
35.0,10DPR0006Y
35.0,30EPR3022W
35.0,20DPR3291K
35.0,27DPR1498H
35.0,11EPR0806O
35.0,30EPR0090Z
35.0,28DPR0362M
35.0,11DPR3911U
35.0,15EPR1933N
35.0,05DPR0964U
35.0,30EPR3321U
35.0,07DPR4845F
34.0,14DPR1490L
34.0,20DPR2142W
34.0,16DPR1330W
34.0,30DPR0462Z
34.0,20DPR3420O
34.0,12DPR0760J
34.0,07DPR3840D
34.0,15EPR4757T
34.0,11DPR3368A
34.0,13DPR0174R
34.0,12DPR2170J
34.0,24DPR2016V
34.0,20DPR0303E
34.0,32DPR2287W
34.0,19DPR0102S
34.0,12DPR6018P
34.0,21DPR0628J
34.0,30EPR1410Z
34.0,11DPR1818A
34.0,27DPR1158J
34.0,30DPR0043P
34.0,30EPR1831I
34.0,20DPR2655V
34.0,11DPR3877D
34.0,20DPR2955S
34.0,13DPR0418W
33.0,11DPR1371A
33.0,20DPR2740S
33.0,05DZC0004T
33.0,27DPR1633W
33.0,22DPR0783A
33.0,11DPR0723G
33.0,08EPR0847A
33.0,21EPR1519I
33.0,14DPR0132R
33.0,11DPR3652X
33.0,25DZC0010R
33.0,21DPR2502Q
33.0,11DPR2528R
33.0,08EPR0005J
33.0,11DPR2895M
33.0,32DPR2174T
33.0,21DPR0859A
33.0,24DPR1525R
33.0,21DPR0193O
33.0,31DPR0857J
33.0,21DPR2666Z
33.0,27DPR2053W
33.0,30EPR2812A
33.0,20DPR0416H
